location_id,time,v,w,occupancy,groundtruth
125,2016-04-17 21:45:00,169,44,10,200.0
125,2016-04-15 01:15:00,24,28,0,26.0
125,2016-04-14 02:45:00,22,43,2,54.0
125,2016-04-18 21:45:00,65,75,3,52.0
125,2016-04-18 00:45:00,41,44,2,259.0
125,2016-04-16 21:30:00,297,60,17,160.0
125,2016-04-17 23:30:00,89,30,3,59.0
125,2016-04-18 01:30:00,0,30,0,15.0
125,2016-04-14 04:00:00,0,38,0,0.0
125,2016-04-18 00:30:00,52,35,0,144.0
125,2016-04-17 02:30:00,68,30,3,97.0
125,2016-04-18 19:45:00,22,69,3,28.0
125,2016-04-15 20:30:00,8,29,0,9.0
125,2016-04-13 18:45:00,13,37,0,21.0
125,2016-04-14 04:45:00,0,32,0,0.0
125,2016-04-14 23:45:00,26,35,4,88.0
125,2016-04-16 21:45:00,247,54,13,64.0
125,2016-04-16 22:30:00,239,36,15,50.0
125,2016-04-17 03:15:00,0,30,0,0.0
125,2016-04-18 01:45:00,0,31,0,0.0
125,2016-04-14 03:15:00,0,42,0,0.0
125,2016-04-15 03:00:00,0,30,0,2.0
125,2016-04-14 20:45:00,5,48,1,46.0
125,2016-04-19 04:15:00,0,46,0,0.0
125,2016-04-14 18:00:00,5,44,1,18.0
125,2016-04-13 21:00:00,94,29,8,49.0
125,2016-04-19 01:30:00,30,67,1,15.0
125,2016-04-15 01:30:00,12,30,2,51.0
125,2016-04-17 03:00:00,8,30,0,5.0
125,2016-04-19 01:15:00,32,65,1,15.0
125,2016-04-13 20:00:00,60,31,5,0.0
125,2016-04-16 01:30:00,126,39,10,137.0
125,2016-04-19 01:45:00,38,62,2,36.0
125,2016-04-16 19:30:00,98,52,6,130.0
125,2016-04-17 00:45:00,91,29,6,62.0
125,2016-04-17 00:30:00,136,30,4,96.0
125,2016-04-15 01:45:00,30,28,2,35.0
125,2016-04-16 00:15:00,139,30,7,137.0
125,2016-04-17 01:30:00,71,30,0,32.0
125,2016-04-16 18:00:00,52,59,0,47.0
125,2016-04-16 21:00:00,275,58,17,174.0
125,2016-04-18 20:00:00,63,74,5,62.0
125,2016-04-13 19:45:00,60,30,5,11.0
125,2016-04-16 02:30:00,56,31,5,55.0
125,2016-04-16 19:15:00,89,57,5,139.0
125,2016-04-14 20:15:00,28,50,2,45.0
125,2016-04-13 19:15:00,73,33,5,44.0
125,2016-04-15 21:00:00,32,34,3,37.0
125,2016-04-16 00:00:00,172,32,9,151.0
125,2016-04-15 23:30:00,91,35,4,37.0
125,2016-04-15 18:30:00,30,53,3,87.0
125,2016-04-14 22:30:00,33,33,2,32.0
125,2016-04-17 20:45:00,59,33,9,115.0
125,2016-04-14 01:45:00,69,44,6,125.0
125,2016-04-16 23:30:00,219,29,18,77.0
125,2016-04-17 03:45:00,0,27,0,0.0
125,2016-04-13 23:45:00,1,44,1,58.0
125,2016-04-16 18:30:00,68,59,1,137.0
125,2016-04-15 02:00:00,30,28,2,75.0
125,2016-04-15 00:45:00,41,34,3,75.0
125,2016-04-14 00:30:00,35,53,1,121.0
125,2016-04-14 03:00:00,24,43,0,18.0
125,2016-04-17 21:00:00,159,53,10,208.0
125,2016-04-15 23:45:00,91,32,7,39.0
125,2016-04-19 00:15:00,108,66,6,127.0
125,2016-04-18 23:30:00,63,69,1,62.0
125,2016-04-19 03:30:00,0,48,0,0.0
125,2016-04-15 03:30:00,0,37,0,0.0
125,2016-04-13 21:30:00,84,31,8,74.0
125,2016-04-14 21:30:00,28,29,3,16.0
125,2016-04-18 23:15:00,97,71,3,96.0
125,2016-04-17 23:45:00,61,35,1,148.0
125,2016-04-18 22:45:00,42,69,0,37.0
125,2016-04-16 23:15:00,195,32,12,0.0
125,2016-04-16 02:15:00,53,27,3,19.0
125,2016-04-18 18:45:00,0,67,0,0.0
125,2016-04-14 00:00:00,39,62,4,135.0
125,2016-04-15 19:15:00,15,46,0,47.0
125,2016-04-15 02:30:00,30,28,2,55.0
125,2016-04-15 04:30:00,0,34,0,0.0
125,2016-04-15 19:30:00,15,49,0,59.0
125,2016-04-17 02:45:00,56,29,2,64.0
125,2016-04-13 20:45:00,63,30,7,26.0
125,2016-04-14 21:15:00,22,33,2,44.0
125,2016-04-16 20:45:00,309,57,19,270.0
125,2016-04-16 03:30:00,0,32,0,0.0
125,2016-04-14 23:15:00,52,31,2,51.0
125,2016-04-17 02:00:00,77,30,2,42.0
125,2016-04-17 04:45:00,0,29,0,0.0
125,2016-04-15 03:45:00,0,39,0,0.0
125,2016-04-17 20:00:00,2,40,0,20.0
125,2016-04-14 03:45:00,0,48,0,0.0
125,2016-04-19 00:00:00,81,67,3,102.0
125,2016-04-16 04:00:00,0,30,0,0.0
125,2016-04-16 02:45:00,88,32,4,29.0
125,2016-04-16 03:45:00,0,32,0,0.0
125,2016-04-15 00:15:00,20,44,2,110.0
125,2016-04-16 01:45:00,102,37,5,97.0
125,2016-04-18 22:15:00,47,61,1,35.0
125,2016-04-15 01:00:00,75,29,5,104.0
125,2016-04-13 21:45:00,131,29,8,110.0
125,2016-04-16 00:45:00,29,51,0,70.0
125,2016-04-14 21:45:00,42,48,2,36.0
125,2016-04-14 00:15:00,60,57,4,113.0
125,2016-04-17 21:30:00,161,32,9,173.0
125,2016-04-15 21:30:00,51,39,4,74.0
125,2016-04-14 22:15:00,24,38,0,15.0
125,2016-04-18 01:00:00,44,44,1,242.0
125,2016-04-13 22:45:00,70,42,5,101.0
125,2016-04-14 04:30:00,0,31,0,0.0
125,2016-04-18 00:15:00,4,34,0,45.0
125,2016-04-14 19:45:00,40,45,3,43.0
125,2016-04-15 18:15:00,2,42,1,44.0
125,2016-04-18 23:00:00,62,73,6,87.0
125,2016-04-16 19:45:00,136,45,9,100.0
125,2016-04-17 23:15:00,101,32,4,81.0
125,2016-04-15 20:00:00,18,41,3,85.0
125,2016-04-17 04:00:00,0,29,0,0.0
125,2016-04-16 02:00:00,92,35,4,33.0
125,2016-04-18 18:00:00,0,63,0,0.0
125,2016-04-15 21:15:00,35,44,2,86.0
125,2016-04-17 20:15:00,35,46,1,56.0
125,2016-04-14 23:30:00,39,37,1,37.0
125,2016-04-15 19:00:00,39,52,2,136.0
125,2016-04-19 00:45:00,48,73,0,52.0
125,2016-04-15 03:15:00,0,30,0,0.0
125,2016-04-15 22:15:00,162,62,8,125.0
125,2016-04-18 18:15:00,0,70,0,0.0
125,2016-04-14 01:30:00,15,51,0,43.0
125,2016-04-16 21:15:00,251,58,14,99.0
125,2016-04-16 20:00:00,153,51,9,54.0
125,2016-04-15 00:00:00,34,35,0,113.0
125,2016-04-14 20:30:00,7,52,1,36.0
125,2016-04-18 19:30:00,6,63,1,0.0
125,2016-04-15 21:45:00,71,42,5,72.0
125,2016-04-19 02:30:00,64,58,3,54.0
125,2016-04-17 04:15:00,0,31,0,0.0
125,2016-04-14 02:00:00,73,44,4,140.0
125,2016-04-13 19:30:00,60,31,5,0.0
125,2016-04-18 18:30:00,0,75,0,0.0
125,2016-04-14 19:15:00,36,53,3,39.0
125,2016-04-16 01:00:00,49,32,3,90.0
125,2016-04-19 03:15:00,0,45,0,0.0
125,2016-04-13 20:15:00,60,32,5,10.0
125,2016-04-17 22:15:00,159,35,10,179.0
125,2016-04-15 04:00:00,0,31,0,0.0
125,2016-04-15 18:00:00,0,40,0,8.0
125,2016-04-17 00:00:00,299,31,20,233.0
125,2016-04-16 04:15:00,0,29,0,0.0
125,2016-04-13 22:30:00,60,42,5,115.0
125,2016-04-15 00:30:00,53,52,3,94.0
125,2016-04-19 04:00:00,0,52,0,0.0
125,2016-04-13 18:15:00,30,31,1,44.0
125,2016-04-14 20:00:00,16,45,0,10.0
125,2016-04-18 20:30:00,56,76,2,10.0
125,2016-04-18 20:15:00,58,74,4,44.0
125,2016-04-15 02:45:00,12,27,0,70.0
125,2016-04-14 00:45:00,16,54,0,72.0
125,2016-04-18 20:45:00,69,67,4,13.0
125,2016-04-16 19:00:00,18,46,0,58.0
125,2016-04-17 20:30:00,35,29,1,57.0
125,2016-04-13 22:15:00,98,44,5,72.0
125,2016-04-16 22:00:00,261,77,16,154.0
125,2016-04-14 18:30:00,42,51,3,42.0
125,2016-04-14 01:15:00,15,42,0,45.0
125,2016-04-16 20:15:00,215,59,16,199.0
125,2016-04-19 03:00:00,3,55,0,2.0
125,2016-04-15 02:15:00,30,29,2,73.0
125,2016-04-13 23:00:00,71,42,5,133.0
125,2016-04-19 01:00:00,44,66,1,55.0
125,2016-04-17 03:30:00,0,30,0,0.0
125,2016-04-16 01:15:00,84,32,6,123.0
125,2016-04-18 21:30:00,54,71,3,22.0
125,2016-04-16 03:00:00,47,30,0,33.0
125,2016-04-16 03:15:00,0,27,0,0.0
125,2016-04-14 04:15:00,0,30,0,0.0
125,2016-04-15 22:30:00,112,39,5,82.0
125,2016-04-18 21:15:00,74,63,4,38.0
125,2016-04-16 18:15:00,32,51,0,61.0
125,2016-04-17 22:45:00,116,34,5,148.0
125,2016-04-14 18:15:00,39,51,3,113.0
125,2016-04-14 21:00:00,11,50,1,62.0
125,2016-04-13 18:00:00,20,29,1,3.0
125,2016-04-16 04:45:00,0,28,0,0.0
125,2016-04-15 23:15:00,135,33,5,97.0
125,2016-04-13 19:00:00,64,29,7,65.0
125,2016-04-19 03:45:00,0,44,0,0.0
125,2016-04-14 03:30:00,0,41,0,0.0
125,2016-04-14 22:00:00,21,38,1,27.0
125,2016-04-15 20:15:00,47,36,1,75.0
125,2016-04-19 02:15:00,88,67,4,96.0
125,2016-04-17 22:30:00,86,40,4,112.0
125,2016-04-18 00:00:00,25,38,1,40.0
125,2016-04-15 20:45:00,15,29,0,15.0
125,2016-04-13 23:15:00,48,41,2,136.0
125,2016-04-17 23:00:00,71,28,5,161.0
125,2016-04-14 22:45:00,53,34,3,11.0
125,2016-04-14 18:45:00,55,45,4,39.0
125,2016-04-17 01:45:00,50,30,5,45.0
125,2016-04-17 21:15:00,173,46,7,149.0
125,2016-04-16 04:30:00,0,30,0,0.0
125,2016-04-13 22:00:00,98,33,6,61.0
125,2016-04-16 22:15:00,264,57,16,160.0
125,2016-04-18 23:45:00,38,66,1,61.0
125,2016-04-14 01:00:00,22,48,0,68.0
125,2016-04-16 23:45:00,280,33,15,165.0
125,2016-04-19 02:00:00,48,58,3,82.0
125,2016-04-13 23:30:00,18,44,0,73.0
125,2016-04-18 01:15:00,11,29,2,56.0
125,2016-04-18 22:30:00,22,66,1,31.0
125,2016-04-15 19:45:00,21,44,0,71.0
125,2016-04-16 00:30:00,68,29,2,57.0
125,2016-04-19 00:30:00,66,72,5,78.0
125,2016-04-18 21:00:00,75,76,2,16.0
125,2016-04-19 04:45:00,0,42,0,0.0
125,2016-04-15 22:00:00,128,39,10,98.0
125,2016-04-16 18:45:00,51,55,0,113.0
125,2016-04-15 04:15:00,0,30,0,0.0
125,2016-04-13 18:30:00,22,32,0,38.0
125,2016-04-17 02:15:00,47,28,4,43.0
125,2016-04-15 18:45:00,63,65,4,156.0
125,2016-04-14 19:30:00,38,41,2,25.0
125,2016-04-17 01:00:00,83,31,5,45.0
125,2016-04-19 02:45:00,50,58,1,27.0
125,2016-04-18 19:00:00,0,64,0,11.0
125,2016-04-13 20:30:00,55,32,3,18.0
125,2016-04-14 23:00:00,59,34,3,50.0
125,2016-04-18 22:00:00,46,63,0,51.0
125,2016-04-15 04:45:00,0,30,0,0.0
125,2016-04-19 04:30:00,0,45,0,0.0
125,2016-04-18 19:15:00,0,53,0,10.0
125,2016-04-15 23:00:00,120,28,7,121.0
125,2016-04-17 22:00:00,138,45,8,137.0
125,2016-04-17 01:15:00,69,30,4,23.0
125,2016-04-16 20:30:00,343,87,21,329.0
125,2016-04-16 22:45:00,243,31,13,24.0
125,2016-04-13 21:15:00,88,32,7,56.0
125,2016-04-16 23:00:00,203,31,12,5.0
125,2016-04-14 19:00:00,36,43,2,17.0
125,2016-04-14 02:30:00,31,43,1,37.0
125,2016-04-15 22:45:00,90,31,5,87.0
125,2016-04-14 02:15:00,61,40,2,102.0
125,2016-04-17 00:15:00,231,31,9,168.0
125,2016-04-17 04:30:00,0,30,0,0.0
