location,time,hour,minute,v_occ_min,w_occ_min,v_occ,win,wout,raw_occ_min,groundtruth
103,2016-04-17 21:45:00,21.0,45.0,166.0,112.0,5.0,12,13,165,184.0
103,2016-04-15 01:15:00,1.0,15.0,99.0,81.0,17.0,10,18,187,98.0
103,2016-04-14 02:45:00,2.0,45.0,1.0,56.0,4.0,0,1,106,0.0
103,2016-04-18 21:45:00,21.0,45.0,4.0,74.0,10.0,1,0,19,33.0
103,2016-04-18 00:45:00,0.0,45.0,42.0,73.0,5.0,5,7,170,37.0
103,2016-04-16 21:30:00,21.0,30.0,120.0,141.0,8.0,6,8,54,112.0
103,2016-04-17 23:30:00,23.0,30.0,120.0,68.0,2.0,0,1,180,373.0
103,2016-04-18 01:30:00,1.0,30.0,30.0,88.0,0.0,6,4,197,33.0
103,2016-04-14 04:00:00,4.0,0.0,7.0,28.0,1.0,1,3,135,4.0
103,2016-04-18 00:30:00,0.0,30.0,65.0,64.0,3.0,2,4,185,51.0
103,2016-04-18 23:30:00,23.0,30.0,45.0,74.0,10.0,0,0,90,35.0
103,2016-04-18 03:30:00,3.0,30.0,0.0,0.0,0.0,0,1,210,0.0
103,2016-04-15 20:30:00,20.0,30.0,85.0,110.0,3.0,10,6,54,72.0
103,2016-04-13 18:45:00,18.0,45.0,105.0,105.0,5.0,12,17,82,0.0
103,2016-04-14 04:45:00,4.0,45.0,0.0,0.0,0.0,2,2,135,0.0
103,2016-04-14 23:45:00,23.0,45.0,146.0,96.0,6.0,6,8,194,104.0
103,2016-04-16 21:45:00,21.0,45.0,130.0,80.0,8.0,11,10,70,252.0
103,2016-04-16 22:30:00,22.0,30.0,109.0,107.0,9.0,16,15,85,96.0
103,2016-04-17 03:15:00,3.0,15.0,85.0,44.0,0.0,14,17,312,0.0
103,2016-04-18 01:45:00,1.0,45.0,13.0,0.0,0.0,4,4,209,0.0
103,2016-04-14 03:15:00,3.0,15.0,13.0,51.0,1.0,4,4,133,21.0
103,2016-04-15 03:00:00,3.0,0.0,103.0,64.0,7.0,5,14,357,93.0
103,2016-04-14 20:45:00,20.0,45.0,51.0,83.0,8.0,1,3,36,167.0
103,2016-04-19 04:15:00,4.0,15.0,13.0,25.0,0.0,0,1,118,8.0
103,2016-04-14 18:00:00,18.0,0.0,3.0,97.0,3.0,3,4,-21,30.0
103,2016-04-13 21:00:00,21.0,0.0,70.0,76.0,6.0,4,5,70,34.0
103,2016-04-18 02:45:00,2.0,45.0,0.0,0.0,0.0,0,4,210,0.0
103,2016-04-15 01:30:00,1.0,30.0,40.0,66.0,15.0,10,7,131,63.0
103,2016-04-17 03:00:00,3.0,0.0,100.0,74.0,1.0,7,8,307,13.0
103,2016-04-19 01:15:00,1.0,15.0,113.0,134.0,8.0,0,2,173,26.0
103,2016-04-13 20:00:00,20.0,0.0,55.0,102.0,6.0,4,6,53,0.0
103,2016-04-16 01:30:00,1.0,30.0,214.0,99.0,0.0,4,5,246,161.0
103,2016-04-19 01:45:00,1.0,45.0,132.0,90.0,4.0,7,1,192,126.0
103,2016-04-16 19:30:00,19.0,30.0,119.0,68.0,9.0,10,10,-29,188.0
103,2016-04-17 00:45:00,0.0,45.0,24.0,63.0,16.0,4,6,69,101.0
103,2016-04-17 00:30:00,0.0,30.0,43.0,66.0,18.0,2,3,88,132.0
103,2016-04-15 01:45:00,1.0,45.0,35.0,71.0,15.0,13,12,141,88.0
103,2016-04-16 00:15:00,0.0,15.0,116.0,109.0,4.0,6,3,124,71.0
103,2016-04-17 01:30:00,1.0,30.0,178.0,59.0,9.0,10,13,259,216.0
103,2016-04-16 18:00:00,18.0,0.0,29.0,86.0,3.0,9,10,-11,39.0
103,2016-04-17 02:30:00,2.0,30.0,219.0,73.0,0.0,13,8,390,323.0
103,2016-04-18 20:00:00,20.0,0.0,60.0,113.0,4.0,5,5,60,29.0
103,2016-04-13 19:45:00,19.0,45.0,116.0,92.0,4.0,7,6,101,0.0
103,2016-04-16 02:30:00,2.0,30.0,140.0,114.0,2.0,8,11,214,279.0
103,2016-04-16 19:15:00,19.0,15.0,88.0,124.0,8.0,12,10,-70,207.0
103,2016-04-14 20:15:00,20.0,15.0,59.0,99.0,4.0,5,5,44,117.0
103,2016-04-13 19:15:00,19.0,15.0,66.0,63.0,5.0,1,3,51,0.0
103,2016-04-15 21:00:00,21.0,0.0,86.0,73.0,5.0,3,4,41,83.0
103,2016-04-17 18:15:00,18.0,15.0,29.0,96.0,5.0,6,6,-35,168.0
103,2016-04-18 03:45:00,3.0,45.0,0.0,0.0,0.0,0,4,210,0.0
103,2016-04-16 00:00:00,0.0,0.0,116.0,132.0,7.0,7,8,116,110.0
103,2016-04-15 23:30:00,23.0,30.0,110.0,91.0,7.0,6,5,95,165.0
103,2016-04-15 18:30:00,18.0,30.0,14.0,131.0,4.0,4,6,-16,0.0
103,2016-04-14 22:30:00,22.0,30.0,128.0,118.0,8.0,7,13,152,115.0
103,2016-04-17 18:45:00,18.0,45.0,48.0,80.0,2.0,12,6,-50,328.0
103,2016-04-17 20:45:00,20.0,45.0,138.0,93.0,2.0,13,11,82,139.0
103,2016-04-14 01:45:00,1.0,45.0,61.0,74.0,5.0,3,9,151,72.0
103,2016-04-16 23:30:00,23.0,30.0,122.0,49.0,9.0,3,3,136,115.0
103,2016-04-17 03:45:00,3.0,45.0,0.0,0.0,0.0,0,7,255,0.0
103,2016-04-13 23:45:00,23.0,45.0,46.0,46.0,4.0,11,11,106,58.0
103,2016-04-16 18:30:00,18.0,30.0,119.0,127.0,1.0,13,10,14,134.0
103,2016-04-18 19:45:00,19.0,45.0,65.0,101.0,3.0,9,5,57,68.0
103,2016-04-15 02:00:00,2.0,0.0,22.0,92.0,12.0,8,5,146,141.0
103,2016-04-15 00:45:00,0.0,45.0,100.0,84.0,10.0,12,12,175,214.0
103,2016-04-14 00:30:00,0.0,30.0,98.0,81.0,3.0,4,5,173,20.0
103,2016-04-14 03:00:00,3.0,0.0,14.0,56.0,2.0,3,1,121,28.0
103,2016-04-17 21:00:00,21.0,0.0,158.0,96.0,0.0,21,17,123,275.0
103,2016-04-15 23:45:00,23.0,45.0,113.0,102.0,5.0,9,7,106,267.0
103,2016-04-19 00:15:00,0.0,15.0,73.0,98.0,6.0,5,5,118,81.0
103,2016-04-19 03:30:00,3.0,30.0,45.0,37.0,2.0,3,4,145,0.0
103,2016-04-15 03:30:00,3.0,30.0,26.0,72.0,2.0,2,4,326,15.0
103,2016-04-13 21:30:00,21.0,30.0,63.0,53.0,6.0,4,4,78,51.0
103,2016-04-14 21:30:00,21.0,30.0,68.0,83.0,9.0,11,11,68,221.0
103,2016-04-18 23:15:00,23.0,15.0,72.0,81.0,10.0,5,6,114,62.0
103,2016-04-17 23:45:00,23.0,45.0,129.0,55.0,2.0,24,24,203,472.0
103,2016-04-16 23:15:00,23.0,15.0,169.0,62.0,8.0,12,12,169,178.0
103,2016-04-18 18:45:00,18.0,45.0,51.0,128.0,2.0,3,4,36,135.0
103,2016-04-14 00:00:00,0.0,0.0,75.0,53.0,3.0,3,1,135,61.0
103,2016-04-15 19:15:00,19.0,15.0,52.0,119.0,4.0,0,2,22,7.0
103,2016-04-15 02:30:00,2.0,30.0,198.0,83.0,5.0,11,11,378,225.0
103,2016-04-15 04:30:00,4.0,30.0,0.0,0.0,0.0,0,3,315,0.0
103,2016-04-15 19:30:00,19.0,30.0,29.0,163.0,5.0,5,6,-1,58.0
103,2016-04-17 02:45:00,2.0,45.0,181.0,76.0,2.0,11,17,371,205.0
103,2016-04-13 20:45:00,20.0,45.0,60.0,86.0,6.0,0,0,60,0.0
103,2016-04-14 21:15:00,21.0,15.0,58.0,88.0,8.0,10,8,55,220.0
103,2016-04-16 21:00:00,21.0,0.0,232.0,107.0,3.0,9,9,137,335.0
103,2016-04-16 20:45:00,20.0,45.0,206.0,73.0,2.0,6,6,101,243.0
103,2016-04-16 03:30:00,3.0,30.0,15.0,73.0,2.0,2,7,120,14.0
103,2016-04-14 23:15:00,23.0,15.0,131.0,96.0,4.0,13,9,169,76.0
103,2016-04-18 03:15:00,3.0,15.0,0.0,0.0,0.0,0,0,210,0.0
103,2016-04-17 02:00:00,2.0,0.0,164.0,55.0,8.0,7,9,290,152.0
103,2016-04-17 04:45:00,4.0,45.0,0.0,0.0,0.0,0,1,255,0.0
103,2016-04-15 03:45:00,3.0,45.0,23.0,51.0,0.0,1,15,330,7.0
103,2016-04-17 20:00:00,20.0,0.0,93.0,123.0,0.0,11,9,15,102.0
103,2016-04-14 03:45:00,3.0,45.0,15.0,31.0,1.0,0,0,135,15.0
103,2016-04-19 00:00:00,0.0,0.0,32.0,96.0,11.0,0,2,77,17.0
103,2016-04-17 19:45:00,19.0,45.0,94.0,127.0,1.0,6,6,4,138.0
103,2016-04-16 04:00:00,4.0,0.0,0.0,42.0,0.0,0,2,120,0.0
103,2016-04-16 02:45:00,2.0,45.0,139.0,102.0,0.0,20,18,219,300.0
103,2016-04-16 03:45:00,3.0,45.0,0.0,45.0,0.0,2,1,113,0.0
103,2016-04-15 00:15:00,0.0,15.0,61.0,97.0,13.0,0,1,121,22.0
103,2016-04-16 01:45:00,1.0,45.0,196.0,93.0,1.0,10,11,241,259.0
103,2016-04-18 22:15:00,22.0,15.0,65.0,90.0,8.0,7,10,92,99.0
103,2016-04-16 02:15:00,2.0,15.0,151.0,138.0,0.0,17,10,211,245.0
103,2016-04-13 21:45:00,21.0,45.0,45.0,78.0,6.0,3,2,60,37.0
103,2016-04-18 03:00:00,3.0,0.0,0.0,0.0,0.0,0,1,210,0.0
103,2016-04-16 00:45:00,0.0,45.0,169.0,108.0,3.0,5,4,186,175.0
103,2016-04-14 21:45:00,21.0,45.0,80.0,103.0,7.0,10,7,88,165.0
103,2016-04-14 00:15:00,0.0,15.0,96.0,65.0,2.0,5,4,171,43.0
103,2016-04-17 21:30:00,21.0,30.0,180.0,122.0,4.0,4,2,165,208.0
103,2016-04-15 21:30:00,21.0,30.0,67.0,127.0,10.0,12,15,22,108.0
103,2016-04-14 22:15:00,22.0,15.0,154.0,99.0,1.0,5,2,169,210.0
103,2016-04-18 01:00:00,1.0,0.0,44.0,58.0,1.0,8,4,182,195.0
103,2016-04-13 22:45:00,22.0,45.0,119.0,69.0,1.0,9,7,150,103.0
103,2016-04-14 04:30:00,4.0,30.0,0.0,24.0,1.0,0,0,135,0.0
103,2016-04-18 00:15:00,0.0,15.0,100.0,72.0,1.0,7,6,207,201.0
103,2016-04-14 19:45:00,19.0,45.0,102.0,99.0,1.0,6,5,72,147.0
103,2016-04-17 00:00:00,0.0,0.0,80.0,57.0,14.0,8,9,105,141.0
103,2016-04-15 18:15:00,18.0,15.0,20.0,112.0,1.0,3,2,5,0.0
103,2016-04-18 23:00:00,23.0,0.0,83.0,116.0,8.0,2,2,113,73.0
103,2016-04-17 19:15:00,19.0,15.0,71.0,72.0,1.0,4,2,-19,260.0
103,2016-04-16 19:45:00,19.0,45.0,90.0,77.0,9.0,8,8,-45,143.0
103,2016-04-17 23:15:00,23.0,15.0,138.0,48.0,3.0,4,6,190,270.0
103,2016-04-15 20:00:00,20.0,0.0,30.0,113.0,6.0,1,1,0,16.0
103,2016-04-17 04:00:00,4.0,0.0,0.0,0.0,0.0,0,9,255,0.0
103,2016-04-16 02:00:00,2.0,0.0,166.0,158.0,7.0,17,23,216,222.0
103,2016-04-15 21:15:00,21.0,15.0,79.0,96.0,7.0,2,3,34,74.0
103,2016-04-17 20:15:00,20.0,15.0,89.0,99.0,1.0,5,5,29,45.0
103,2016-04-14 23:30:00,23.0,30.0,153.0,128.0,3.0,5,4,198,136.0
103,2016-04-15 19:00:00,19.0,0.0,56.0,128.0,1.0,2,1,26,22.0
103,2016-04-19 00:45:00,0.0,45.0,103.0,138.0,8.0,3,5,148,70.0
103,2016-04-15 03:15:00,3.0,15.0,31.0,64.0,3.0,8,6,324,19.0
103,2016-04-15 22:15:00,22.0,15.0,121.0,89.0,6.0,4,4,91,77.0
103,2016-04-18 18:15:00,18.0,15.0,11.0,81.0,2.0,2,3,11,78.0
103,2016-04-15 01:00:00,1.0,0.0,141.0,69.0,8.0,5,2,216,221.0
103,2016-04-18 22:45:00,22.0,45.0,47.0,114.0,7.0,4,3,77,89.0
103,2016-04-16 20:00:00,20.0,0.0,182.0,73.0,2.0,17,9,56,283.0
103,2016-04-15 00:00:00,0.0,0.0,99.0,87.0,11.0,4,8,159,44.0
103,2016-04-14 20:30:00,20.0,30.0,83.0,80.0,5.0,2,3,68,168.0
103,2016-04-18 19:30:00,19.0,30.0,36.0,124.0,6.0,2,3,21,48.0
103,2016-04-15 21:45:00,21.0,45.0,31.0,129.0,11.0,5,4,-14,79.0
103,2016-04-19 02:30:00,2.0,30.0,111.0,73.0,5.0,4,6,188,80.0
103,2016-04-17 04:15:00,4.0,15.0,0.0,0.0,0.0,0,14,255,0.0
103,2016-04-14 02:00:00,2.0,0.0,31.0,58.0,3.0,4,2,121,60.0
103,2016-04-18 02:30:00,2.0,30.0,0.0,0.0,0.0,0,6,210,0.0
103,2016-04-13 19:30:00,19.0,30.0,63.0,76.0,5.0,3,2,48,0.0
103,2016-04-18 18:30:00,18.0,30.0,34.0,100.0,0.0,6,3,27,134.0
103,2016-04-14 19:15:00,19.0,15.0,52.0,103.0,3.0,11,7,8,90.0
103,2016-04-16 01:00:00,1.0,0.0,224.0,153.0,0.0,10,8,254,195.0
103,2016-04-19 03:15:00,3.0,15.0,57.0,32.0,3.0,9,8,147,15.0
103,2016-04-13 20:15:00,20.0,15.0,44.0,110.0,6.0,2,2,44,0.0
103,2016-04-18 18:00:00,18.0,0.0,15.0,67.0,0.0,5,4,15,48.0
103,2016-04-15 04:00:00,4.0,0.0,15.0,20.0,0.0,0,6,330,0.0
103,2016-04-15 18:00:00,18.0,0.0,25.0,108.0,1.0,7,6,21,0.0
103,2016-04-18 02:00:00,2.0,0.0,0.0,0.0,0.0,0,5,210,0.0
103,2016-04-16 04:15:00,4.0,15.0,0.0,0.0,0.0,0,7,120,0.0
103,2016-04-17 22:15:00,22.0,15.0,127.0,94.0,8.0,3,5,144,171.0
103,2016-04-17 01:15:00,1.0,15.0,126.0,68.0,5.0,14,5,186,334.0
103,2016-04-15 00:30:00,0.0,30.0,112.0,102.0,9.0,8,7,174,103.0
103,2016-04-19 04:00:00,4.0,0.0,15.0,29.0,0.0,2,2,120,14.0
103,2016-04-13 18:15:00,18.0,15.0,28.0,70.0,4.0,7,7,-15,0.0
103,2016-04-14 20:00:00,20.0,0.0,98.0,85.0,3.0,3,4,69,110.0
103,2016-04-18 20:30:00,20.0,30.0,35.0,114.0,5.0,8,6,35,89.0
103,2016-04-18 20:15:00,20.0,15.0,36.0,106.0,6.0,0,2,36,7.0
103,2016-04-15 02:45:00,2.0,45.0,186.0,72.0,0.0,17,11,402,272.0
103,2016-04-14 00:45:00,0.0,45.0,88.0,90.0,2.0,1,1,163,45.0
103,2016-04-18 20:45:00,20.0,45.0,40.0,98.0,8.0,3,5,40,67.0
103,2016-04-16 19:00:00,19.0,0.0,38.0,104.0,9.0,9,7,-122,91.0
103,2016-04-17 20:30:00,20.0,30.0,105.0,82.0,3.0,0,0,45,110.0
103,2016-04-13 22:15:00,22.0,15.0,49.0,65.0,6.0,2,2,64,36.0
103,2016-04-16 22:00:00,22.0,0.0,159.0,90.0,7.0,21,19,109,338.0
103,2016-04-14 18:30:00,18.0,30.0,29.0,83.0,6.0,2,2,-16,46.0
103,2016-04-14 01:15:00,1.0,15.0,98.0,63.0,2.0,5,5,177,134.0
103,2016-04-16 20:15:00,20.0,15.0,154.0,98.0,4.0,9,10,34,116.0
103,2016-04-17 18:30:00,18.0,30.0,0.0,81.0,6.0,0,2,-90,248.0
103,2016-04-19 03:00:00,3.0,0.0,45.0,45.0,6.0,0,0,135,30.0
103,2016-04-15 02:15:00,2.0,15.0,133.0,90.0,4.0,17,8,283,200.0
103,2016-04-13 23:00:00,23.0,0.0,112.0,68.0,4.0,3,5,157,113.0
103,2016-04-19 01:00:00,1.0,0.0,110.0,126.0,5.0,4,1,156,62.0
103,2016-04-17 03:30:00,3.0,30.0,0.0,0.0,0.0,3,4,254,0.0
103,2016-04-16 01:15:00,1.0,15.0,197.0,119.0,1.0,2,4,227,108.0
103,2016-04-18 21:30:00,21.0,30.0,26.0,82.0,11.0,6,9,41,26.0
103,2016-04-16 03:00:00,3.0,0.0,105.0,84.0,4.0,5,11,195,166.0
103,2016-04-16 03:15:00,3.0,15.0,97.0,72.0,0.0,12,10,192,107.0
103,2016-04-19 01:30:00,1.0,30.0,101.0,82.0,9.0,4,5,161,17.0
103,2016-04-14 04:15:00,4.0,15.0,0.0,28.0,1.0,0,4,135,0.0
103,2016-04-15 22:30:00,22.0,30.0,88.0,102.0,9.0,5,7,58,31.0
103,2016-04-18 21:15:00,21.0,15.0,47.0,96.0,7.0,1,1,62,96.0
103,2016-04-16 18:15:00,18.0,15.0,55.0,131.0,4.0,9,9,-21,92.0
103,2016-04-17 22:45:00,22.0,45.0,104.0,63.0,5.0,8,5,134,27.0
103,2016-04-14 18:15:00,18.0,15.0,6.0,82.0,4.0,1,1,-27,47.0
103,2016-04-14 21:00:00,21.0,0.0,19.0,78.0,9.0,1,1,4,151.0
103,2016-04-13 18:00:00,18.0,0.0,19.0,71.0,0.0,4,3,7,0.0
103,2016-04-16 04:45:00,4.0,45.0,0.0,0.0,0.0,0,2,120,0.0
103,2016-04-17 18:00:00,18.0,0.0,30.0,63.0,3.0,9,10,17,60.0
103,2016-04-15 23:15:00,23.0,15.0,128.0,106.0,7.0,5,6,113,186.0
103,2016-04-13 19:00:00,19.0,0.0,60.0,87.0,5.0,0,0,45,0.0
103,2016-04-19 03:45:00,3.0,45.0,16.0,25.0,2.0,0,1,121,0.0
103,2016-04-14 03:30:00,3.0,30.0,15.0,39.0,1.0,0,1,135,15.0
103,2016-04-14 22:45:00,22.0,45.0,92.0,78.0,6.0,4,1,122,77.0
103,2016-04-14 22:00:00,22.0,0.0,84.0,96.0,3.0,8,4,99,143.0
103,2016-04-15 20:15:00,20.0,15.0,29.0,96.0,7.0,2,2,-1,49.0
103,2016-04-19 02:15:00,2.0,15.0,163.0,78.0,5.0,3,10,238,154.0
103,2016-04-17 22:30:00,22.0,30.0,77.0,86.0,8.0,0,3,107,68.0
103,2016-04-18 00:00:00,0.0,0.0,92.0,54.0,2.0,15,15,189,273.0
103,2016-04-15 20:45:00,20.0,45.0,113.0,98.0,4.0,4,4,68,103.0
103,2016-04-13 23:15:00,23.0,15.0,77.0,75.0,4.0,11,11,122,86.0
103,2016-04-17 23:00:00,23.0,0.0,148.0,62.0,1.0,9,8,187,83.0
103,2016-04-14 01:30:00,1.0,30.0,106.0,72.0,0.0,5,3,196,170.0
103,2016-04-19 04:45:00,4.0,45.0,0.0,0.0,0.0,0,0,105,0.0
103,2016-04-17 01:45:00,1.0,45.0,187.0,65.0,6.0,14,10,290,247.0
103,2016-04-16 04:30:00,4.0,30.0,0.0,0.0,0.0,0,3,120,0.0
103,2016-04-13 22:00:00,22.0,0.0,57.0,86.0,7.0,0,1,72,29.0
103,2016-04-16 22:15:00,22.0,15.0,119.0,122.0,10.0,13,15,82,240.0
103,2016-04-17 19:00:00,19.0,0.0,90.0,78.0,3.0,5,5,-11,359.0
103,2016-04-18 23:45:00,23.0,45.0,45.0,111.0,10.0,0,3,90,26.0
103,2016-04-14 01:00:00,1.0,0.0,98.0,92.0,3.0,2,7,173,59.0
103,2016-04-16 23:45:00,23.0,45.0,96.0,67.0,13.0,4,8,111,90.0
103,2016-04-16 21:15:00,21.0,15.0,235.0,127.0,5.0,19,21,153,332.0
103,2016-04-19 02:00:00,2.0,0.0,193.0,75.0,0.0,10,5,261,261.0
103,2016-04-13 23:30:00,23.0,30.0,69.0,54.0,4.0,3,3,116,95.0
103,2016-04-18 01:15:00,1.0,15.0,29.0,89.0,3.0,2,4,179,100.0
103,2016-04-18 22:30:00,22.0,30.0,45.0,107.0,8.0,0,0,75,90.0
103,2016-04-15 19:45:00,19.0,45.0,32.0,139.0,6.0,2,1,2,43.0
103,2016-04-16 00:30:00,0.0,30.0,168.0,69.0,4.0,8,7,183,120.0
103,2016-04-19 00:30:00,0.0,30.0,109.0,110.0,5.0,2,0,154,152.0
103,2016-04-18 21:00:00,21.0,0.0,48.0,103.0,6.0,3,1,52,115.0
103,2016-04-14 18:45:00,18.0,45.0,10.0,81.0,6.0,2,2,-35,49.0
103,2016-04-13 22:30:00,22.0,30.0,52.0,78.0,3.0,10,7,80,69.0
103,2016-04-15 22:00:00,22.0,0.0,85.0,99.0,6.0,12,6,44,117.0
103,2016-04-16 18:45:00,18.0,45.0,109.0,143.0,7.0,8,11,-26,107.0
103,2016-04-15 04:15:00,4.0,15.0,5.0,0.0,0.0,0,7,320,0.0
103,2016-04-13 18:30:00,18.0,30.0,89.0,87.0,0.0,23,14,57,0.0
103,2016-04-17 02:15:00,2.0,15.0,134.0,71.0,4.0,13,8,277,256.0
103,2016-04-15 18:45:00,18.0,45.0,26.0,122.0,2.0,2,0,-4,0.0
103,2016-04-14 19:30:00,19.0,30.0,30.0,124.0,1.0,9,6,0,96.0
103,2016-04-17 01:00:00,1.0,0.0,38.0,78.0,16.0,6,5,84,136.0
103,2016-04-19 02:45:00,2.0,45.0,48.0,67.0,6.0,1,4,138,32.0
103,2016-04-18 19:00:00,19.0,0.0,10.0,112.0,6.0,1,3,-5,17.0
103,2016-04-13 20:30:00,20.0,30.0,50.0,102.0,6.0,5,4,50,0.0
103,2016-04-14 23:00:00,23.0,0.0,97.0,90.0,7.0,4,5,127,52.0
103,2016-04-18 22:00:00,22.0,0.0,50.0,82.0,5.0,6,1,65,102.0
103,2016-04-15 04:45:00,4.0,45.0,0.0,0.0,0.0,0,2,315,0.0
103,2016-04-19 04:30:00,4.0,30.0,0.0,0.0,0.0,0,3,105,0.0
103,2016-04-18 02:15:00,2.0,15.0,0.0,0.0,0.0,0,2,210,0.0
103,2016-04-17 19:30:00,19.0,30.0,105.0,87.0,0.0,0,1,15,222.0
103,2016-04-18 19:15:00,19.0,15.0,2.0,104.0,4.0,5,3,-13,20.0
103,2016-04-15 23:00:00,23.0,0.0,111.0,107.0,6.0,9,5,91,197.0
103,2016-04-17 22:00:00,22.0,0.0,166.0,102.0,6.0,11,10,175,143.0
103,2016-04-17 21:15:00,21.0,15.0,141.0,113.0,2.0,4,6,126,230.0
103,2016-04-16 20:30:00,20.0,30.0,169.0,72.0,1.0,8,4,64,174.0
103,2016-04-16 22:45:00,22.0,45.0,123.0,105.0,5.0,9,4,108,109.0
103,2016-04-13 21:15:00,21.0,15.0,44.0,69.0,6.0,3,3,58,23.0
103,2016-04-16 23:00:00,23.0,0.0,175.0,87.0,7.0,4,5,167,193.0
103,2016-04-14 19:00:00,19.0,0.0,0.0,92.0,6.0,0,0,-45,38.0
103,2016-04-14 02:30:00,2.0,30.0,22.0,84.0,3.0,4,7,127,54.0
103,2016-04-15 22:45:00,22.0,45.0,75.0,138.0,9.0,1,1,45,28.0
103,2016-04-14 02:15:00,2.0,15.0,63.0,83.0,1.0,4,3,157,130.0
103,2016-04-17 00:15:00,0.0,15.0,88.0,84.0,16.0,8,9,120,167.0
103,2016-04-17 04:30:00,4.0,30.0,0.0,0.0,0.0,0,3,255,0.0
